Runtime,Sim ID,Model,Method
122.47495818138123,0,Spike,Random Feedback
122.59396386146545,1,Spike,Random Feedback
122.58244180679321,2,Spike,Random Feedback
122.55675840377808,3,Spike,Random Feedback
122.55791783332825,4,Spike,Random Feedback
122.58669996261597,5,Spike,Random Feedback
122.52379417419434,6,Spike,Random Feedback
122.5379285812378,7,Spike,Random Feedback
122.49886775016785,8,Spike,Random Feedback
122.55755519866943,9,Spike,Random Feedback
124.29979062080383,0,Spike,Feedback Align
124.31457090377808,1,Spike,Feedback Align
124.32618021965027,2,Spike,Feedback Align
124.36349773406982,3,Spike,Feedback Align
124.33548021316528,4,Spike,Feedback Align
124.3751232624054,5,Spike,Feedback Align
124.2921929359436,6,Spike,Feedback Align
124.31814551353455,7,Spike,Feedback Align
124.39693903923035,8,Spike,Feedback Align
124.36100840568542,9,Spike,Feedback Align
2043.1099753379822,0,Rate,Random Feedback
2043.3599171638489,1,Rate,Random Feedback
2043.3564763069153,2,Rate,Random Feedback
2043.46049284935,3,Rate,Random Feedback
2043.5347900390625,4,Rate,Random Feedback
2043.6118080615997,5,Rate,Random Feedback
2043.6792886257172,6,Rate,Random Feedback
2043.427077293396,7,Rate,Random Feedback
2043.3714196681976,8,Rate,Random Feedback
2043.5252385139465,9,Rate,Random Feedback
2045.7766489982605,0,Rate,Feedback Align
2045.668170452118,1,Rate,Feedback Align
2045.6724226474762,2,Rate,Feedback Align
2045.716164112091,3,Rate,Feedback Align
2045.593108177185,4,Rate,Feedback Align
2045.7768723964691,5,Rate,Feedback Align
2045.765406370163,6,Rate,Feedback Align
2045.8781361579895,7,Rate,Feedback Align
2045.7848312854767,8,Rate,Feedback Align
2045.8120701313019,9,Rate,Feedback Align
